Name,dollar_value
Noelvi Marte,19.35
Jesus Luzardo,19.13
Ben Brown,18.91
Tink Hence,18.7
Thomas White,18.48
Dalton Rushing,18.26
Chase DeLauter,18.04
Christian Moore,17.83
Justin Crawford,17.61
Jaison Chourio,17.39
Jake Burger,17.17
Sandy Alcantara,16.96
Gavin Stone,16.74
Quinn Matthews,16.52
Hagen Smith,16.3
Travis Sykora,16.09
Cal Raleigh,15.87
Dansby Swanson,15.65
Ronel Blanco,15.43
Brandon Nimmo,15.22
Alex Bregman,15.0
Max Muncy,14.78
Marcus Semien,14.57
Cristopher Sanchez,14.35
Maikel Garcia,14.13
Brice Turang,13.91
Gleyber Torres,13.7
Garrett Mitchell,13.48
Willson Contreras,13.26
Tommy Edman,13.04
Michael Busch,12.83
Kevin Alcantara,12.61
Kyle Manzardo,12.39
Heston Kjerstad,12.17
Nick Kurtz,11.96
Cam Smith,11.74
Jordan Walker,11.52
Lazaro Montes,11.3
Konnor Griffin,11.09
Braden Montgomery,10.87
Owen Caissie,10.65
Ezequiel Tovar,10.43
Jac Caglionone,10.22
Charlie Condon,10.0
Raisel Iglesias,9.78
Felix Bautista,9.57
Ryan Walker,9.35
Matt Chapman,9.13
Trevor Story,8.91
Ranger Suarez,8.7
Jonathan India,8.48
Jeremy Pena,8.26
Masyn Winn,8.04
Spencer Arrighetti,7.83
DJ Herz,7.61
Bobby Miller,7.39
David Festa,7.17
Nestor Cortes,6.96
Michael Toglia,6.74
Brandon Marsh,6.52
Wilyer Abreu,6.3
Heliot Ramos,6.09
Isaac Paredes,5.87
Cade Horton,5.65
Moises Ballesteros,5.43
Aidan Miller,5.22
Parker Meadows,5.0
Spencer Jones,4.78
Xavier Isaac,4.57
Kevin McGonigle,4.35
Brice Matthews,4.13
Jett Williams,3.91
Termarr Johnson,3.7
Zyhir Hope,3.48
Emil Morales,3.26
Jesus Made,3.04
Taylor Ward,2.83
Brandon Woodruff,2.61
Brandon Sproat,2.39
Chase Dollander,2.17
Alejandro Rosario,1.96
Jacob Misiorowski,1.74
Kevin Gausman,1.52
Andres Gimenez,1.3
Luis Garcia,1.09
Ceddanne Rafaela,0.87
Kutter Crawford,0.65
Tanner Houck,0.43
Sean Manaea,0.22
