Name,rankings
Danny Coulombe,BOS
Wandy Peralta,SDP
Griffin Canning,SDP
Caleb Thielbar,CHC
Rowdy Tellez,
Aaron Bummer,ATL
Tomoyuki Sugano,COL
Colin Rea,CHC
Stephen Kolek,KCR
Trevor McDonald,SFG
Justin Topa,MIN
Alex Cobb,
Ryan Bergert,KCR
Junior Perez,ATH
Yennier Cano,BAL
Hayden Birdsong,SFG
Jonathan Cannon,CHW
Jake Irvin,WSN
Deyvison De Los Santos,MIA
Kody Funderburk,MIN
Chris Martin,TEX
Yoán Moncada,LAA
Brant Hurter,DET
Yohel Pozo,STL
Eloy Jiménez,TOR
Germán Márquez,SDP
Blaze Alexander,BAL
Brock Wilken,MIL
Michel Otañez,TEX
Garrett Hampson,CIN
Nicky Lopez,COL
Christian Encarnacion-Strand,CIN
Jeimer Candelario,LAA
Tyler Wade,TEX
Dominic Smith,ATL
Michael Toglia,CIN
Adam Frazier,LAA
Garrett Stubbs,PHI
Jared Young,NYM
Petey Halpin,CLE
Tanner Gordon,COL
Eduard Bazardo,SEA
Justin Martinez,ARI
Jovani Morán,BOS
Juan Mejia,COL
Josh Sborz,TEX
Brice Matthews,HOU
Keaton Winn,SFG
Ben Joyce,LAA
Justin Slaten,BOS
Tobias Myers,NYM
John Rave,KCR
Erik Sabrowski,CLE
Brendon Little,TOR
Troy Johnston,COL
Trey Lipscomb,WSN
Tyler Anderson,LAA
Luis Matos,SFG
Ryan Weiss,HOU
Chase Dollander,COL
Matt Thaiss,BOS
Francis Peña,SDP
Jackson Rutledge,WSN
Jerar Encarnacion,SFG
Jorge Alcala,TOR
Justin Turner,
Jesse Scholtens,TBR
Seth Martinez,BOS
Mike Clevinger,PIT
MJ Melendez,NYM
Drey Jameson,ARI
Tyler Black,MIL
Hunter Bigge,TBR
Grant Holman,ARI
J.P. France,HOU
Chayce McDermott,BAL
Shinnosuke Ogasawara,WSN
Guillo Zuñiga,SEA
Alex Carrillo,NYM
Emiliano Teodo,TEX
Tyler Mattison,DET
Angel Chivilli,NYY
Peyton Pallette,CLE
Domingo Gonzalez,SEA
Lazaro Estrada,TOR
Michael Petersen,MIA
Connor Seabold,TOR
Casey Lawrence,SEA
Drew Smith,WSN
Walbert Urena,LAA
Beau Brieske,DET
Andrew Walters,CLE
Cole Winn,TEX
Dylan Smith,DET
Tyler Gilbert,CHW
Tate Kuehner,MIL
Tyson Neighbors,BAL
Tom Cosgrove,HOU
Joe La Sorsa,PIT
Luinder Avila,KCR
Jose A. Ferrer,SEA
John Schreiber,KCR
Tyler Kinley,ATL
Kris Bryant,COL
Justin Wrobleski,LAD
Carson Whisenhunt,SFG
Jordan Wicks,CHC
Luis Medina,ATH
Caleb Ferguson,CIN
Gage Jump,ATH
A.J. Puk,ARI
Brusdar Graterol,LAD
Tristan Beck,SFG
Dylan Lee,ATL
Lance McCullers Jr.,HOU
Richard Fitts,STL
Aaron Ashby,MIL
Blaine Crim,COL
George Klassen,LAA
Martín Pérez,ATL
Duncan Davitt,CHW
Eric Cerantola,KCR
Shane Murphy,CHW
Josh Fleming,TOR
David Sandlin,CHW
Vince Velasquez,CHC
Hogan Harris,ATH
Gunnar Hoglund,ATH
Jake Bloss,TOR
Alek Jacob,SDP
Hoby Milner,CHC
Jake Miller,CLE
David Festa,MIN
Tommy Nance,TOR
Sam Moll,CIN
Mason Englert,TBR
Christian Scott,NYM
Clarke Schmidt,NYY
Andre Granillo,WSN
Trey Gibson,BAL
James McArthur,KCR
Ky Bush,CHW
Josh Staumont,CIN
Jorge López,
Jose Franco,CIN
Angel Perdomo,LAA
Yunior Marte,CIN
A.J. Causey,ATH
Brandon Waddell,NYM
Jayden Murray,HOU
Kevin Herget,NYM
Bradley Blalock,MIA
Dale Stanavich,MIA
Carlos Vargas,SEA
Michael Kelly,ATH
Luis Peralta,COL
Bailey Horn,DET
Kendall Graveman,
Rafael Montero,NYY
T.J. McFarland,
James Karinchak,ATL
Matt Bowman,MIN
Ryan Loutos,SEA
Kyle Keller,BOS
Mike Vasil,CHW
Miguel Castro,
Ken Waldichuk,WSN
Jack Neely,CHC
Anthony Molina,ATL
Connor Brogdon,CLE
Kaleb Ort,LAA
Blake Walston,ARI
Marc Church,TEX
Ty Adcock,SDP
Steven Wilson,TBR
Joey Estes,ATH
Joe Ross,ARI
Troy Taylor,SEA
Tejay Antone,CIN
Konnor Pilkington,DET
Austin Love,STL
Isaiah Campbell,ARI
Sammy Peralta,MIL
Antonio Senzatela,COL
Alexander Alberto,CHW
Thomas Hatch,ARI
Luis Guerrero,TBR
Andry Lara,WSN
Eli Morgan,KCR
Tanner McDougal,CHW
Kyle Backhus,PHI
Orlando Ribalta,WSN
Riley Martin,CHC
Jedixson Paez,CHW
Carlos Hernández,CLE
Daison Acosta,SDP
Lou Trivino,PHI
Brycen Mautz,STL
Henry Baez,ATH
Ryan Rolison,CHC
Roddery Muñoz,HOU
Gavin Collyer,TEX
Zach Brzykcy,MIA
Ryder Ryan,LAD
Hayden Durke,ARI
Ryan Harbin,PIT
Colin Poche,DET
Enmanuel De Jesus,DET
Andrew Hoffmann,ARI
Josh Simpson,SEA
Seth Johnson,PHI
Lucas Sims,CHW
Dan Altavilla,MIN
Ryan Zeferjahn,LAA
Yilber Díaz,ARI
Wikelman González,CHW
Rico Garcia,BAL
Cole Henry,WSN
Jayvien Sandridge,LAA
Zach Maxwell,CIN
Paul Gervase,LAD
Jean Cabrera,PHI
Brandan Bidois,PIT
Prelander Berroa,CHW
Scott Blewett,STL
George Soriano,STL
Cameron Foster,BAL
Cade Winquest,NYY
Logan Gillaspie,SDP
Eduarniel Núñez,ATH
Nick Hernandez,ATH
Blas Castaño,SEA
Carter Baumler,TEX
Triston McKenzie,SDP
Jairo Iriarte,CHW
Tayler Scott,ATL
Robinson Ortiz,SEA
Jackson Kowar,BAL
Danny Young,ATL
Zach McCambley,PHI
Nick Anderson,ATH
Ethan Roberts,CHC
Samy Natera Jr.,LAA
Tayler Saucedo,LAA
Bryce Jarvis,ARI
Garrett Acton,MIA
Jaden Woods,PIT
Logan VanWey,HOU
Rolddy Muñoz,ATL
Dom Hamel,NYY
Riley Cornelio,WSN
RJ Petit,COL
Cam Sanders,PIT
Nate Pearson,HOU
Ryan Lambert,NYM
Michael Fulmer,SFG
Matt Pushard,STL
Hayden Harris,ATL
Adam Macko,TOR
Paxton Schultz,WSN
Victor Mederos,LAA
Carson Spiers,CIN
Edgardo Henriquez,LAD
Tim Hill,NYY
Braden Nett,ATH
Nestor Cortes,
Didier Fuentes,ATL
Welinton Herrera,COL
Yuki Matsui,SDP
Easton McGee,MIL
Connor Phillips,CIN
Elvis Alvarado,ATH
Joel Payamps,ATL
Elmer Rodríguez,NYY
Jose Corniell,TEX
Brent Suter,LAA
Zach Pop,PHI
Randy Dobnak,SEA
Scott McGough,
Vinny Nittoli,BOS
Carson Seymour,SFG
Angel Bastardo,TOR
Hunter Stratton,ATL
Jake Bennett,BOS
Richard Lovelady,NYM
Travis Adams,MIN
Doug Nikhazy,CLE
Pedro Avila,
Enyel De Los Santos,HOU
John Brebbia,COL
Chase Petty,CIN
Pete Hansen,STL
Kervin Castro,NYY
Gus Varland,WSN
Dylan Ross,NYM
Matt Waldron,SDP
Grant Anderson,MIL
Franco Aleman,CLE
John Klein,MIN
Chris Roycroft,STL
Spencer Miles,TOR
Ryan Webb,CLE
Isaac Mattson,PIT
Chase Lee,TOR
Colton Gordon,HOU
Peter Lambert,HOU
Keegan Thompson,COL
Taylor Clarke,ARI
Tommy Kahnle,BOS
Luke Jackson,
Brody Hopkins,TBR
Collin Snider,CHC
Jeff Criswell,COL
Max Lazar,PHI
Will Klein,LAD
Luis Perales,WSN
Jose Espada,BAL
Ronan Kopp,LAD
Lake Bachar,MIA
Tyler Samaniego,BOS
Joey Gerber,NYM
Colin Holderman,CLE
Dane Dunning,SEA
Alex Lange,KCR
Jonathan Loáisiga,ARI
Porter Hodge,CHC
Trevor Stephan,CLE
Dylan Dodd,ATL
Jordan Hicks,CHW
Anthony Nunez,BAL
Justin Hagenman,NYM
Reiver Sanmartin,SFG
Andrew Morris,MIN
Ron Marinaccio,SDP
Caden Dana,LAA
Zack Kelly,BOS
Sean Guenther,DET
Tony Gonsolin,
Anthony Banda,MIN
Kyle Wright,CHC
Dax Fulton,MIA
Kolby Allard,CLE
Jackson Jobe,DET
Jared Lyons,CIN
Keegan Akin,BAL
Huascar Brazobán,NYM
Greg Weissert,BOS
Drew Thorpe,CHW
Javier Assad,CHC
Spencer Bivens,SFG
Gordon Graceffo,STL
Grant Wolfram,BAL
Jalen Beeks,TEX
PJ Poulin,WSN
Cooper Criswell,SEA
Scott Barlow,ATH
Ryne Stanek,STL
Dietrich Enns,BAL
Calvin Faucher,MIA
Ryan Johnson,LAA
Philip Abner,ARI
Mitchell Parker,WSN
Jack Perkins,ATH
Trent Thornton,CHC
Jack Kochanowicz,LAA
Craig Kimbrel,NYM
Sauryn Lao,
Brandyn Garcia,ARI
Bryan Ramos,BAL
Thomas Harrington,PIT
Julian Aguiar,CIN
Ryan Borucki,CHW
Daniel Lynch IV,KCR
Edouard Julien,COL
Tyler Phillips,MIA
Craig Yoho,MIL
Marco Raya,MIN
Marco Gonzales,SDP
Caleb Kilian,SFG
Wilber Dotel,PIT
Albert Suárez,BAL
Joey Lucchesi,SFG
Brandon Young,BAL
Jhony Brito,SDP
Gabriel Hughes,COL
Kade Strowd,ARI
Sam Aldegheri,LAA
Mason Black,KCR
Héctor Neris,KCR
Garrett Hawkins,SDP
Joe Elbis,
Drew Sommers,DET
Alan Rangel,PHI
Taylor Walls,TBR
Rafael Marchán,PHI
José Fermín,STL
Matt Vierling,DET
Tyler Freeman,COL
Rob Refsnyder,SEA
Emmanuel Rodriguez,MIN
Drew Millas,WSN
Andy Ibáñez,ATH
Ben Kudrna,KCR
Chase Shugart,PHI
Jhancarlos Lara,ATL
Jackson Wolf,SDP
Derek Law,ARI
AJ Smith-Shawver,ATL
Luis Curvelo,TEX
Nick Sandlin,LAA
Ben Casparius,LAD
Joe Rock,TBR
Hagen Smith,CHW
Jonathan Pintaro,NYM
Yosver Zulueta,SEA
Cole Irvin,LAD
Chen Zhong-Ao Zhuang,ATH
Tucker Davidson,PHI
Scott Alexander,SFG
Daniel Robert,PHI
Yoniel Curet,PHI
Kyle Hart,SDP
Kevin Alcántara,CHC
Alan Roden,MIN
Thomas Saggese,STL
Cionel Pérez,WSN
Bryan Hoeing,SDP
Juan Morillo,ARI
Seth Halvorsen,COL
Jonathan Bowlan,PHI
Ryan Watson,BOS
Tyler Uberstine,BOS
Miguel Ullola,HOU
Bailey Falter,KCR
Jhonathan Díaz,SEA
Peyton Gray,TEX
Orelvis Martinez,WSN
Tim Mayza,PHI
Kyle Nicolas,CIN
Adbert Alzolay,NYM
AJ Blubaugh,HOU
Rob Zastryzny,MIL
Cody Bradford,TEX
Landon Knack,LAD
Graham Pauley,MIA
Sean Sullivan,COL
Blake Perkins,MIL
Luke Raley,SEA
Jimmy Crooks,STL
Ryan Waldschmidt,ARI
Hunter Feduccia,TBR
Nick Burdi,NYM
Evan Reifert,TBR
Chris Murphy,CHW
Griff McGarry,WSN
Nolan Hoffman,PHI
Scott Effross,DET
Michael Kopech,
Shawn Dubin,ARI
Jake Fraley,TBR
Bryse Wilson,PHI
Brendan Beck,NYY
Pedro León,PHI
Enmanuel Valdez,PIT
Jarred Kelenic,CHW
José Berríos,TOR
Luisangel Acuña,CHW
Edgar Quero,CHW
Lucas Giolito,
Nick Martinez,TBR
Jordan Walker,STL
Andrew Benintendi,CHW
Justin Sterner,ATH
Luis Severino,ATH
Kevin Ginkel,ARI
Tyler O'Neill,BAL
Austin Hays,CHW
Taylor Rogers,MIN
Tanner Scott,LAD
Tyler Rogers,TOR
Bo Naylor,CLE
Cam Smith,HOU
Jacob Lopez,ATH
Eric Lauer,TOR
Brandon Marsh,PHI
Jason Adam,SDP
Josh Bell,MIN
Gavin Sheets,SDP
Coby Mayo,BAL
Tony Santillan,CIN
Jared Jones,PIT
Jordan Leasure,CHW
Connor Norby,MIA
Spencer Arrighetti,HOU
Nolan Gorman,STL
Lars Nootbaar,STL
Hyeseong Kim,LAD
Harry Ford,WSN
Zack Littell,WSN
Victor Vodnik,COL
Spencer Horwitz,PIT
Mick Abel,MIN
Jake Mangum,PIT
Dominic Canzone,SEA
Mike Yastrzemski,ATL
Matt Strahm,KCR
Dylan Beavers,BAL
Jeffrey Springs,ATH
Anthony Santander,TOR
Cade Cavalli,WSN
Adrian Morejon,SDP
Brandon Pfaadt,ARI
Zebby Matthews,MIN
Justin Steele,CHC
Matt Wallner,MIN
Hurston Waldrep,ATL
Javier Báez,DET
Carson Kelly,CHC
Will Warren,NYY
Jeff McNeil,ATH
Ryan McMahon,NYY
Andrés Giménez,TOR
Reynaldo López,ATL
Tyler Mahle,SFG
Chad Patrick,MIL
Max Meyer,MIA
Owen Caissie,MIA
Harrison Bader,SFG
Moisés Ballesteros,CHC
Luke Weaver,NYM
Clayton Beeter,WSN
Zach Eflin,BAL
Grant Holmes,ATL
Dustin May,STL
Kyle Finnegan,DET
Carlos Narváez,BOS
Alex Vesia,LAD
Corbin Burnes,ARI
Cristian Javier,HOU
Robby Snelling,MIA
Paul Goldschmidt,NYY
JoJo Romero,STL
Justin Verlander,DET
Ha-Seong Kim,ATL
Triston Casas,BOS
Jake Cronenworth,SDP
Troy Melton,DET
Jonny DeLuca,TBR
Miguel Amaya,CHC
Louis Varland,TOR
Enrique Hernández,LAD
Luis Morales,ATH
Luis Rengifo,MIL
Sean Murphy,ATL
Bryan King,HOU
Lane Thomas,KCR
Eduardo Rodriguez,ARI
Brady House,WSN
Kody Clemens,MIN
Max Muncy,LAD
Max Muncy,ATH
Dalton Rushing,LAD
Landen Roupp,SFG
Bennett Sousa,HOU
Miguel Rojas,LAD
Kristian Campbell,BOS
Christian Moore,LAA
Cole Young,SEA
Brooks Raley,NYM
Lourdes Gurriel Jr.,ARI
Jesus Rodriguez,SFG
Jake Meyers,HOU
Nolan Jones,CLE
Tyler Fitzgerald,SFG
Fernando Cruz,NYY
José Alvarado,PHI
Colt Emerson,SEA
Miguel Andujar,SDP
Wenceel Pérez,DET
Zach Cole,HOU
Rhys Hoskins,CLE
Kyle Harrison,MIL
Keibert Ruiz,WSN
Victor Caratini,MIN
Shawn Armstrong,CLE
Nasim Nuñez,WSN
Travis Bazzana,CLE
Denzel Clarke,ATH
Jared Triolo,PIT
Matt Svanson,STL
Trevor Larnach,MIN
Camilo Doval,NYY
Matt Brash,SEA
Brad Keller,PHI
Isaac Collins,KCR
Hunter Gaddis,CLE
Thomas White,MIA
Patrick Bailey,SFG
Chase Meidroth,CHW
Robert Stephenson,LAA
Jesús Sánchez,TOR
Jonah Tong,NYM
Johan Oviedo,BOS
Spencer Jones,NYY
Tyler Holton,DET
Freddy Fermin,SDP
Dean Kremer,BAL
Max Scherzer,TOR
Parker Meadows,DET
Ke'Bryan Hayes,CIN
Paul Sewald,ARI
Gabe Speier,SEA
Mauricio Dubón,ATL
Jake McCarthy,COL
Javier Sanoja,MIA
Walker Jenkins,MIN
Simeon Woods Richardson,MIN
Joey Ortiz,MIL
Lucas Erceg,KCR
Victor Robles,SEA
Jorge Soler,LAA
Slade Cecconi,CLE
Taj Bradley,MIN
Braxton Garrett,MIA
Josh Lowe,LAA
Riley O'Brien,STL
Rafael Flores Jr.,PIT
Jack Leiter,TEX
Heliot Ramos,SFG
Brenton Doyle,COL
Royce Lewis,MIN
Jordan Westburg,BAL
Gerrit Cole,NYY
Jorge Polanco,NYM
Sal Frelick,MIL
Ryan Walker,SFG
José Caballero,NYY
Daylen Lile,WSN
Marcus Semien,NYM
Dylan Crews,WSN
Daulton Varsho,TOR
Matt McLain,CIN
Dennis Santana,PIT
Christian Walker,HOU
Addison Barger,TOR
Gabriel Moreno,ARI
Wilyer Abreu,BOS
Ezequiel Tovar,COL
Austin Wells,NYY
Roki Sasaki,LAD
TJ Friedl,CIN
Kyle Manzardo,CLE
Otto Lopez,MIA
Noah Cameron,KCR
Carlos Correa,HOU
Alec Bohm,PHI
Giancarlo Stanton,NYY
Adolis García,PHI
Luis Arraez,SFG
J.T. Realmuto,PHI
Caleb Durbin,BOS
Trent Grisham,NYY
Samuel Basallo,BAL
Kerry Carpenter,DET
Ramón Laureano,SDP
Jac Caglianone,KCR
Cade Horton,CHC
Munetaka Murakami,CHW
Jacob Misiorowski,MIL
Andy Pages,LAD
Carlos Estévez,KCR
Lawrence Butler,ATH
Ozzie Albies,ATL
Jo Adell,LAA
Cam Schlittler,NYY
Trevor Story,BOS
Hunter Greene,CIN
Emilio Pagán,CIN
Jeremy Peña,HOU
Michael Harris II,ATL
Shohei Ohtani,LAD
Bo Bichette,NYM
Tyler Soderstrom,ATH
CJ Abrams,WSN
Ben Rice,NYY
Yainer Diaz,HOU
Noelvi Marte,CIN
Isaac Paredes,HOU
Jackson Holliday,BAL
Jonathan Aranda,TBR
Spencer Torkelson,DET
Colson Montgomery,CHW
Bryan Reynolds,PIT
Alejandro Kirk,TOR
Alec Burleson,STL
Kazuma Okamoto,TOR
Chandler Simpson,TBR
Trevor Rogers,BAL
Tatsuya Imai,HOU
Jacob Wilson,ATH
Xavier Edwards,MIA
Kenley Jansen,DET
Robbie Ray,SFG
Ceddanne Rafaela,BOS
Brandon Lowe,PIT
Francisco Alvarez,NYM
Shane Bieber,TOR
Reid Detmers,LAA
Jung Hoo Lee,SFG
Jameson Taillon,CHC
Brett Baty,NYM
Nick Castellanos,SDP
Seth Lugo,KCR
Brayan Bello,BOS
Jonathan India,KCR
Bailey Ober,MIN
Victor Scott II,STL
Matt Shaw,CHC
Andrew Painter,PHI
Zach McKinstry,DET
Yusei Kikuchi,LAA
Michael Wacha,KCR
Brady Singer,CIN
Ryan Jeffers,MIN
Robert Garcia,TEX
Masyn Winn,STL
Parker Messick,CLE
Jordan Lawlar,ARI
Carson Benge,NYM
Nolan Arenado,ARI
Cedric Mullins,TBR
Ian Seymour,TBR
Edwin Uceta,TBR
Bryce Eldridge,SFG
Lenyn Sosa,CHW
Kirby Yates,LAA
Josh Jung,TEX
Anthony Volpe,NYY
Tommy Edman,LAD
Josh Smith,TEX
Nolan Schanuel,LAA
J.P. Crawford,SEA
David Peterson,NYM
Brooks Lee,MIN
Chris Bassitt,BAL
Mitch Keller,PIT
Will Vest,DET
Colt Keith,DET
Cody Ponce,TOR
Logan O'Hoppe,LAA
Luis García,NYM
Spencer Steer,CIN
Ryan Weathers,NYY
Jake Burger,TEX
Bryce Miller,SEA
Shane Smith,CHW
Quinn Priester,MIL
Ernie Clement,TOR
Luis Garcia,HOU
Ryne Nelson,ARI
Dillon Dingler,DET
Seranthony Domínguez,CHW
Jordan Beck,COL
Kyle Teel,CHW
