Overall_Rank,Tier,Pos_Rank,Pos_Tier,Primary_Pos,Name,Team,Pos,PlayerId,R,HR,RBI,SB,OBP,QS+W,SV+HLD,K,ERA,WHIP,True_Value_Uninflated,Market_Value,Bargain_Value,ROI_Percent,Profile,Draft_Day_Inflation_Value,Total_Z,Target,R_Z,HR_Z,RBI_Z,SB_Z,Impact_OBP_Z,QS+W_Z,SV+HLD_Z,K_Z,Impact_ERA_Z,Impact_WHIP_Z
13,2,4,OF 2,OF,Kyle Tucker,LAD,OF,18345,94.221,29.735,87.826,22.96,0.371,,,92.144,,,44.81,46.64,-1.83,-3.9,OBP Specialist,44.81,12.556686989360717,False,2.111425848540136,2.2655879023642966,1.9519371163544,1.7807729590699326,3.8292302851153726,,,,,
14,2,10,SP 2,SP,Yoshinobu Yamamoto,LAD,SP,33825,62.878,15.733,,,,25.904,0.0,174.583,3.247,1.107,43.06,33.79,8.83,26.1,ERA Specialist,42.62,13.496192374716937,False,,,,,,2.9964860841917953,-0.6211034172977374,2.643832728143691,4.0014503182947605,3.857040520473564
15,2,1,3B 1,3B,José Ramírez,CLE,3B/DH,13510,91.786,27.666,88.631,33.187,0.347,,,74.213,,,42.61,75.25,-32.64,-43.4,SB Specialist,42.61,11.669852631555202,True,2.023118601409367,2.035100354969011,1.9814556365822766,2.8371670924440604,2.284378190775747,,,,,
16,2,11,SP 2,SP,Max Fried,NYY,SP,13743,71.952,16.447,,,,29.88,0.0,170.267,3.321,1.169,41.52,23.49,18.14,77.2,ERA Specialist,41.63,13.288677151115657,False,,,,,,3.5801867425722613,-0.6211034172977374,2.5485219002394235,4.109749139182403,2.843137564972326
17,2,12,SP 2,SP,Jacob deGrom,TEX,SP,10954,65.256,21.471,,,,22.225,0.0,177.389,3.437,1.052,43.29,22.45,18.83,83.9,WHIP Specialist,41.28,13.217033487352406,False,,,,,,2.45634167070997,-0.6211034172977374,2.7057980161648616,3.0909369354620524,4.9195626958116785
18,2,5,OF 3,OF,Fernando Tatis Jr.,SDP,OF,19709,98.04,28.467,80.897,25.614,0.355,,,127.999,,,39.0,44.81,-5.81,-13.0,OBP Specialist,39.0,11.54627436225936,False,2.249908904289501,2.124392137673502,1.6980133370611563,2.054960104415901,2.8540767585101285,,,,,
19,2,6,OF 3,OF,Kyle Schwarber,PHI,OF,16478,96.88,41.301,104.283,6.33,0.351,,,184.39,,,38.7,38.7,0.0,0.0,HR Specialist,38.7,11.493518662628041,False,2.2078533439901706,3.554096735279921,2.555116960717806,0.06317837354124901,2.588499608835648,,,,,
20,2,13,SP 3,SP,Hunter Brown,HOU,SP,25880,75.154,19.583,,,,27.868,0.0,193.673,3.488,1.174,33.93,29.7,8.04,27.1,QS+W Specialist,37.74,12.479305918795733,False,,,,,,3.284703056249432,-0.6211034172977374,3.0653998515664105,3.2522544052319997,2.7168977888200687
21,2,1,SS 2,SS,Bobby Witt Jr.,KCR,SS,25764,100.241,28.49,92.041,33.884,0.347,,,113.119,,,36.13,78.84,-42.71,-54.2,SB Specialist,36.13,12.342888547513718,True,2.329740483567602,2.1269099097123307,2.10643472023892,2.909127532496248,2.3261629422775805,,,,,
22,2,1,C 1,C,Cal Raleigh,SEA,C,21534,86.297,39.824,101.362,8.025,0.328,,,168.554,,,34.35,45.62,-11.27,-24.7,HR Specialist,34.35,9.275530849542255,False,1.8240220082951601,3.3895280248481385,2.448060097562071,0.23818467640736635,0.8725375086085456,,,,,
23,3,14,SP 3,SP,George Kirby,SEA,SP,25436,71.732,19.982,,,,25.135,0.0,160.672,3.618,1.104,36.37,16.87,16.93,100.4,WHIP Specialist,33.8,11.660094130027822,False,,,,,,2.8836097892724677,-0.6211034172977374,2.336634181578292,2.394368598922004,4.016857981766869
24,2,7,OF 3,OF,Corbin Carroll,ARI,OF,25878,96.303,25.478,76.92,31.635,0.344,,,127.318,,,33.79,42.61,-8.82,-20.7,SB Specialist,33.79,10.640633897072407,False,2.186905351899024,1.7913555123250238,1.552231283350697,2.6768338197398696,1.8870936851035618,,,,,
25,3,15,SP 3,SP,Joe Ryan,MIN,SP,21390,77.592,25.269,,,,24.596,0.0,185.395,3.82,1.096,34.93,15.87,17.76,111.9,WHIP Specialist,33.63,11.62461813618229,False,,,,,,2.8045127055131567,-0.6211034172977374,2.882595626962258,1.5024567832981457,4.294758048517446
26,2,8,OF 3,OF,Julio Rodríguez,SEA,OF,23697,94.382,29.79,91.271,28.1,0.332,,,145.655,,,33.61,49.45,-15.84,-32.0,SB Specialist,33.61,10.609519632258014,False,2.1172612570018146,2.2717263642819727,2.0782099717568143,2.3116813240939704,1.1994768236729358,,,,,
27,2,1,1B 1,1B,Vladimir Guerrero Jr.,TOR,1B/DH,19611,93.782,28.78,95.292,4.779,0.379,,,90.549,,,33.59,41.28,-7.69,-18.6,OBP Specialist,33.59,11.612332646269454,True,2.09548999721595,2.1591730416789194,2.225589998501711,-0.09710222250953841,4.670686034251724,,,,,
28,3,16,SP 3,SP,Jesús Luzardo,PHI,SP,19959,77.164,21.43,,,,26.425,0.0,193.344,3.646,1.163,27.02,15.51,18.02,116.2,QS+W Specialist,33.53,11.604552055859747,False,,,,,,3.072911365938449,-0.6211034172977374,3.058134498836915,2.421888172536399,2.9291830258835447
29,3,17,SP 3,SP,Cole Ragans,KCR,SP,21846,63.526,16.584,,,,23.108,0.0,190.655,3.425,1.146,35.67,22.84,10.32,45.2,ERA Specialist,33.16,11.527531328704981,False,,,,,,2.585997469478016,-0.6211034172977374,2.998752938078209,3.0711649554531317,2.911187390519425
30,3,18,SP 3,SP,Framber Valdez,DET,SP,17295,78.367,15.795,,,,28.757,0.0,173.536,3.487,1.221,30.6,15.58,16.14,103.6,QS+W Specialist,31.72,11.228971954814815,False,,,,,,3.415254349098643,-0.6211034172977374,2.620711681615478,3.3938537622083613,1.6822158596054422
31,3,1,2B 1,2B,Ketel Marte,ARI,2B/DH,13613,88.064,28.262,86.066,5.243,0.361,,,99.431,,,30.23,33.63,-3.4,-10.1,OBP Specialist,30.23,9.373558022516958,False,1.888124459855238,2.1015093776391884,1.8874537733087988,-0.04914374464958203,3.094725887053828,,,,,
32,3,9,OF 4,OF,Yordan Alvarez,HOU,OF/DH,19556,77.378,29.033,84.094,3.503,0.386,,,93.257,,,30.2,31.72,-1.52,-4.8,OBP Specialist,30.2,10.015791401025949,False,1.5005539655996365,2.187414422733927,1.8151638188793662,-0.22888681481983783,4.334187876104758,,,,,
33,3,19,SP 4,SP,Zack Wheeler,PHI,SP,10310,51.511,15.096,,,,21.523,0.0,149.593,3.297,1.084,34.4,6.71,22.99,342.6,WHIP Specialist,29.7,10.80815601880928,False,,,,,,2.3533099385911234,-0.6211034172977374,2.0919750846479457,3.048024382611485,3.5085520500291687
34,3,1,RP 1,RP,Mason Miller,SDP,RP,31757,19.317,5.72,,,,3.193,35.057,99.054,2.48,0.993,23.01,24.36,4.4,18.1,SV+HLD Specialist,28.76,10.694620878923073,False,,,,,,-0.33753642924791444,4.4990007100482226,0.9759219478997102,2.991436645306793,2.5209255880098222
35,3,2,3B 3,3B,Rafael Devers,SFG,3B,17350,88.161,30.395,90.916,2.13,0.353,,,159.828,,,28.67,25.5,3.17,12.4,OBP Specialist,28.67,9.244822779670052,False,1.8916170007804067,2.3391714612867127,2.0652099480110633,-0.37069959591249246,2.6913811356633186,,,,,
36,3,2,SS 2,SS,Elly De La Cruz,CIN,SS,26668,92.209,22.752,77.42,40.68,0.332,,,171.41,,,28.2,56.16,-27.96,-49.8,SB Specialist,28.2,10.962853920074368,False,2.038456042294661,1.4876854670400557,1.5705713224890503,4.152789615488087,1.1517534253659545,,,,,
37,3,3,SS 2,SS,Gunnar Henderson,BAL,SS,26289,96.906,26.316,82.541,23.931,0.349,,,140.013,,,27.15,42.62,-15.47,-36.3,OBP Specialist,27.15,10.779840640086702,True,2.2087890403128014,1.8847693111992792,1.7582635175958066,1.8811478056936095,2.4436833663817246,,,,,
38,4,20,SP 4,SP,Nathan Eovaldi,TEX,SP,9132,67.533,18.004,,,,23.754,0.17,148.398,3.659,1.115,21.74,6.21,20.27,326.4,WHIP Specialist,26.48,10.137286839489908,False,,,,,,2.680890481619846,-0.5990690767575653,2.065585733548409,2.0535770778718745,3.5134129404757215
39,3,3,3B 3,3B,Jazz Chisholm Jr.,NYY,3B/OF,20454,79.631,27.863,76.545,32.341,0.317,,,155.344,,,25.5,37.74,-12.24,-32.4,SB Specialist,25.5,8.693668850801231,False,1.5822569375229998,2.0570584465111885,1.5385092396788353,2.7497651628155815,0.0362732494216932,,,,,
40,4,21,SP 4,SP,Nick Pivetta,SDP,SP,15454,79.303,26.081,,,,23.589,0.0,183.162,3.917,1.15,19.91,13.35,11.29,84.6,WHIP Specialist,24.64,9.756276485030375,False,,,,,,2.6565506588891603,-0.6211034172977374,2.8332839775854675,1.0440316704671984,3.0882340489950386
41,3,10,OF 4,OF,Brent Rooker,ATH,OF,19627,86.481,32.612,95.635,6.36,0.339,,,162.731,,,24.36,24.64,-0.28,-1.1,HR Specialist,24.36,9.000156148375908,True,1.8307169517508826,2.5861804951137835,2.2381575433069494,0.06626977008317808,1.656341847103543,,,,,
42,4,11,OF 4,OF,Wyatt Langford,TEX,OF/DH,33333,84.208,24.41,74.321,22.858,0.343,,,143.499,,,24.13,23.06,1.07,4.6,Balanced,24.13,8.960971538820464,False,1.7482668734613882,1.6724297755351991,1.4569832943164192,1.7703099296781044,1.8808536360278532,,,,,
43,4,22,SP 4,SP,Sonny Gray,BOS,SP,12768,76.934,20.662,,,,25.007,0.0,176.923,3.808,1.182,23.74,11.26,12.81,113.8,QS+W Specialist,24.07,9.637497827044127,False,,,,,,2.8647016519521276,-0.6211034172977374,2.6955072733929923,1.552242554086438,2.3819075961926166
44,4,2,RP 2,RP,Cade Smith,CLE,RP,27867,24.089,5.543,,,,4.888,34.615,87.96,2.933,1.055,18.79,17.38,6.11,35.2,SV+HLD Specialist,23.49,9.598434327910324,False,,,,,,-0.08881399050067727,4.433223227030102,0.7309227706288344,2.2948933984168223,2.1050277364853547
45,4,23,SP 4,SP,Freddy Peralta,NYM,SP,18679,73.718,21.556,,,,24.014,0.0,181.252,3.76,1.185,22.55,20.68,2.61,12.6,K Specialist,23.29,9.474828859229907,False,,,,,,2.7190150411081406,-0.6211034172977374,2.7911051821042,1.7224336659079862,2.247695147327138
46,4,4,3B 4,3B,Junior Caminero,TBR,3B,28163,83.944,36.671,103.341,6.011,0.322,,,124.261,,,23.06,41.63,-18.57,-44.6,HR Specialist,23.06,8.26912854631825,False,1.73870681335885,3.0383656689369385,2.5205919469921287,0.030242037781465097,0.3973025418907408,,,,,
47,4,3,RP 2,RP,Edwin Díaz,LAD,RP,14710,23.686,6.545,,,,4.84,37.534,88.156,3.045,1.069,18.27,24.13,-1.29,-5.3,SV+HLD Specialist,22.84,9.463903389440478,False,,,,,,-0.09576067573358481,4.867360860635688,0.7352488575580386,1.9715566583222892,1.87192348857479
48,4,12,OF 4,OF,James Wood,WSN,OF,29518,82.942,24.113,80.541,15.716,0.348,,,186.546,,,22.84,30.23,-7.39,-24.4,OBP Specialist,22.84,8.736035443293744,False,1.7023343388640255,1.6392753968292022,1.6849620022546663,1.0325888918874604,2.2343678965654257,,,,,
49,4,24,SP 4,SP,Brandon Woodruff,MIL,SP,16162,65.246,20.535,,,,20.751,0.0,153.496,3.739,1.118,18.16,6.89,15.56,225.8,WHIP Specialist,22.45,9.300315017188826,False,,,,,,2.2400358094160646,-0.6211034172977374,2.1781655761471015,1.6200662970505886,3.2693312473581098
50,4,2,1B 2,1B,Bryce Harper,PHI,1B,11579,82.286,26.344,84.329,9.351,0.365,,,129.29,,,22.27,28.2,-5.93,-21.0,OBP Specialist,22.27,9.643717144074358,False,1.678564750885256,1.8878106906975107,1.8237987373865527,0.37512331774680896,3.3533477221793335,,,,,
51,4,25,SP 4,SP,Dylan Cease,TOR,SP,18525,75.33,20.401,,,,22.866,0.0,199.12,3.711,1.216,24.55,16.73,5.32,31.8,K Specialist,22.05,9.216680903251133,True,,,,,,2.550500671309862,-0.6211034172977374,3.1856867096745067,2.012916695831449,1.6389388615217826
52,4,2,C 2,C,William Contreras,MIL,C/DH,20503,76.45,19.283,76.405,5.748,0.353,,,115.548,,,21.77,21.32,0.45,2.1,OBP Specialist,21.77,7.087671089242524,False,1.4668906583645227,1.1012185996640367,1.5333817986807226,0.0029999449671054487,2.4960020108245016,,,,,
53,4,26,SP 4,SP,Kevin Gausman,TOR,SP,14107,84.056,23.585,,,,25.121,0.174,174.346,3.914,1.192,17.26,11.56,9.76,84.4,QS+W Specialist,21.32,9.066033167980395,False,,,,,,2.881495836031684,-0.5985769218734645,2.6385990242017745,1.1256694297894243,2.278155213742336
54,4,1,DH 3,DH,Marcell Ozuna,PIT,DH,10324,61.434,21.493,67.613,0.264,0.338,,,125.867,,,20.68,0.0,20.68,2068.0,Balanced,20.68,3.4234779526347685,False,0.9223153985933713,1.3474366520098828,1.2111373420137697,-0.5633718924418879,1.2622748181116472,,,,,
55,4,4,SS 3,SS,Mookie Betts,LAD,SS/OF,13611,88.381,21.221,80.608,9.055,0.349,,,72.036,,,20.5,23.29,-2.79,-12.0,OBP Specialist,20.5,8.328230915908376,False,1.899624820471759,1.3170562787802949,1.687391947488225,0.34457085877244853,2.3023842075007788,,,,,
56,4,27,SP 5,SP,Drew Rasmussen,TBR,SP,25385,66.206,16.891,,,,19.67,0.052,138.453,3.621,1.149,16.47,2.39,17.95,751.0,WHIP Specialist,20.34,8.860584645219594,True,,,,,,2.0813160896334146,-0.6144127100103747,1.8459689162388784,2.1967441519975384,2.8079486079398004
57,4,28,SP 5,SP,Luis Castillo,SEA,SP,15689,81.047,23.968,,,,24.64,0.0,160.193,3.898,1.186,22.01,4.31,15.5,359.6,QS+W Specialist,19.81,8.7512894730172,False,,,,,,2.810972007082217,-0.6211034172977374,2.3260563579994824,1.1658485327369112,2.344271308359737
58,4,13,OF 5,OF,Randy Arozarena,SEA,OF,19290,86.036,22.962,72.854,24.333,0.329,,,170.8,,,19.61,14.82,4.79,32.3,Balanced,19.61,8.174457208762501,False,1.8145780035504673,1.5110584127810442,1.403209302662159,1.9226074305492826,0.966282165480392,,,,,
59,4,4,RP 2,RP,Jhoan Duran,PHI,RP,21029,22.983,4.907,,,,4.969,34.253,76.16,2.88,1.119,15.12,17.9,1.0,5.6,SV+HLD Specialist,18.9,8.645160751858578,False,,,,,,-0.07686134655174809,4.379327418085973,0.4703549803661815,2.3283713763898777,1.486378490573389
60,4,14,OF 5,OF,Roman Anthony,BOS,OF,31812,85.221,18.801,67.923,10.945,0.36,,,153.203,,,18.25,22.27,-4.02,-18.1,OBP Specialist,18.25,7.937122852785115,False,1.7849983942195478,1.0474875618619452,1.222488081664345,0.5398556074480186,3.042911563460746,,,,,
61,5,5,RP 3,RP,Andrés Muñoz,SEA,RP,20373,21.855,4.923,,,,3.655,36.089,76.913,2.909,1.132,14.32,20.5,-2.6,-12.7,SV+HLD Specialist,17.9,8.435986170624192,False,,,,,,-0.2697713239579005,4.652384348641669,0.4869637092046429,2.1416200805596515,1.2932459834182535
62,4,3,1B 3,1B,Freddie Freeman,LAD,1B,5361,83.904,22.241,84.098,7.629,0.361,,,114.456,,,17.43,22.05,-4.62,-21.0,OBP Specialist,17.43,8.801163615414142,False,1.737234361006183,1.430712519223366,1.8153067568342816,0.19732515225027608,3.1180400016871768,,,,,
63,4,4,1B 3,1B,Nick Kurtz,ATH,1B,35110,93.576,37.426,94.728,3.093,0.334,,,177.228,,,17.38,39.0,-21.62,-55.4,HR Specialist,17.38,8.792611327096127,False,2.0880007999049712,3.1223879552946774,2.2049263013270437,-0.2711655099921671,1.183875215302074,,,,,
64,4,15,OF 5,OF,Jackson Chourio,MIL,OF,28806,86.602,23.334,83.533,23.646,0.317,,,127.514,,,16.99,36.13,-19.14,-53.0,Balanced,16.99,7.719046481796481,False,1.8350907880496923,1.552479104995055,1.7946247342807788,1.85164887978733,0.057542395572133524,,,,,
65,5,29,SP 5,SP,Ranger Suarez,BOS,SP,17277,72.875,16.663,,,,24.62,0.0,147.959,3.68,1.239,13.5,1.61,15.26,947.8,QS+W Specialist,16.87,8.139256415322105,False,,,,,,2.8080066004527846,-0.6211034172977374,2.0558912355294168,2.110301374725204,1.0911100268388192
66,4,2,2B 3,2B,Brice Turang,MIL,2B,22186,80.435,15.209,67.017,29.472,0.326,,,131.95,,,16.86,24.07,-7.21,-30.0,SB Specialist,16.86,7.049732804410472,False,1.6114194729116613,0.6473734787887332,1.1893044856694108,2.453371192995349,0.7082236785628238,,,,,
67,5,30,SP 5,SP,Shota Imanaga,CHC,SP,33829,73.906,27.457,,,,21.997,0.0,140.492,3.99,1.127,20.1,1.39,15.34,1103.6,WHIP Specialist,16.73,8.11044249273654,False,,,,,,2.4228854246284053,-0.6211034172977374,1.8909964366505556,0.6415070665085664,3.278723212974603
68,5,3,C 3,C,Iván Herrera,STL,C,20599,67.556,17.276,66.678,8.703,0.353,,,109.196,,,16.44,1.0,15.44,1544.0,OBP Specialist,16.44,6.161850846938822,True,1.1443474318018323,0.8775936521621964,1.1768688835917867,0.30826528294591804,2.2763075931384584,,,,,
69,5,31,SP 5,SP,Blake Snell,LAD,SP,13543,52.153,13.371,,,,19.584,0.0,154.347,3.444,1.201,20.08,10.33,5.9,57.1,ERA Specialist,16.23,8.006312192337525,False,,,,,,2.0687219195968316,-0.6211034172977374,2.1969583274322106,2.4383200494247315,1.4709819344108441
70,5,5,1B 4,1B,Pete Alonso,BAL,1B,19251,84.924,35.927,102.555,1.961,0.333,,,150.126,,,16.22,33.8,-17.58,-52.0,HR Specialist,16.22,8.589899337223233,False,1.7742451399691588,2.955468581587704,2.4917844514630616,-0.38810354904697436,1.22843442533439,,,,,
71,5,16,OF 5,OF,George Springer,TOR,OF/DH,12856,82.104,24.352,71.216,13.837,0.342,,,109.772,,,16.01,15.66,0.35,2.2,Balanced,16.01,7.548473237507024,False,1.6719423420281863,1.665923674337517,1.3431790266735324,0.8385012459823865,1.6508239339712871,,,,,
72,5,4,C 4,C,Willson Contreras,BOS,C/DH,11609,70.071,21.944,74.406,4.722,0.342,,,142.291,,,15.87,1.0,14.87,1487.0,Balanced,15.87,6.0613613814505545,False,1.235570569798474,1.3976249840228248,1.4601059388699518,-0.10294106803293457,1.6246948955767222,,,,,
73,5,5,SS 4,SS,Francisco Lindor,NYM,SS,12916,91.913,24.846,76.574,22.596,0.335,,,114.992,,,15.66,34.35,-18.69,-54.4,R Specialist,15.66,8.782969432772706,False,2.0277136682340697,1.7209693010802356,1.5395794418028161,1.743186617552793,1.3438490688127673,,,,,
74,5,3,2B 3,2B,Maikel Garcia,KCR,2B/3B,22715,83.009,12.347,65.487,26.117,0.329,,,95.249,,,15.58,16.99,-1.41,-8.3,SB Specialist,15.58,6.826371444456644,False,1.7047751281087171,0.32848539542836486,1.1331995058273023,2.106882758663403,0.9129675408075453,,,,,
75,5,32,SP 5,SP,Michael King,SDP,SP,19853,70.092,20.14,,,,21.11,0.0,162.959,3.725,1.224,22.11,6.14,9.37,152.6,K Specialist,15.51,7.857526189759742,True,,,,,,2.2926424166268085,-0.6211034172977374,2.3871383204608363,1.8065968012582887,1.340536010019196
76,5,33,SP 5,SP,Kyle Bradish,BAL,SP,24586,58.964,15.244,,,,18.228,0.0,146.258,3.609,1.176,12.38,15.14,0.08,0.5,WHIP Specialist,15.22,7.796943614906579,True,,,,,,1.869596332453542,-0.6211034172977374,2.0183278160981937,2.007294320051166,2.0238686644223827
77,5,6,RP 3,RP,Devin Williams,NYM,RP,15816,24.626,5.589,,,,4.542,34.372,83.296,3.179,1.147,12.11,12.95,2.19,16.9,SV+HLD Specialist,15.14,7.862227600262381,False,,,,,,-0.13950189154079376,4.3970279896132185,0.6279225937263591,1.7237162311131702,1.206469432297285
78,5,34,SP 5,SP,Chase Burns,CIN,SP,35333,55.523,17.06,,,,16.744,0.409,151.459,3.592,1.159,11.99,10.13,4.86,48.0,WHIP Specialist,14.99,7.7476071745504544,False,,,,,,1.6517505149446492,-0.5682261206879794,2.1331822220134145,1.9604844105284318,2.2099989126044317
79,5,5,3B 5,3B,Manny Machado,SDP,3B/DH,11493,79.093,26.387,88.179,9.388,0.324,,,121.705,,,14.82,33.16,-18.34,-55.3,Balanced,14.82,6.835735952583644,False,1.5627487572151262,1.892590001337589,1.9649078194940144,0.3789811079519894,0.5555880130640557,,,,,
80,5,5,C 4,C,Will Smith,LAD,C,19197,68.64,19.983,68.216,2.338,0.357,,,96.963,,,14.48,12.04,2.44,20.3,OBP Specialist,14.48,5.819773307720326,False,1.183643050622395,1.1792138299465245,1.2332487441164242,-0.3491806665591515,2.2868377380677605,,,,,
81,5,7,RP 3,RP,Bryan Abreu,HOU,RP,16609,25.346,6.648,,,,3.089,32.086,89.859,3.13,1.169,11.34,0.0,14.18,1418.0,SV+HLD Specialist,14.18,7.662914626670486,False,,,,,,-0.352843814228351,4.057212111097121,0.7728608598950514,1.8933289159884665,1.0643023588491798
82,5,35,SP 5,SP,Ryan Pepiot,TBR,SP,26221,81.188,25.132,,,,22.976,0.0,170.777,4.031,1.199,14.23,5.76,8.29,143.9,QS+W Specialist,14.05,7.553774575184164,False,,,,,,2.5666636054633516,-0.6211034172977374,2.5597843011270918,0.5060836860748824,1.9846589771500949
83,5,36,SP 5,SP,Tyler Glasnow,LAD,SP,14374,57.324,15.771,,,,18.645,0.0,150.917,3.688,1.17,19.98,10.4,3.61,34.7,K Specialist,14.01,7.544320252249579,False,,,,,,1.9307864706357172,-0.6211034172977374,2.1212131606778923,1.6253583701093326,2.0356516608765935
84,5,37,SP 5,SP,Eury Pérez,MIA,SP,27768,67.754,20.022,,,,17.966,0.0,160.035,3.907,1.159,11.21,12.33,1.43,11.6,WHIP Specialist,13.76,7.491858206409554,False,,,,,,1.8310827468480202,-0.6211034172977374,2.3225672220382045,0.9362503787132297,2.4733595534337858
85,5,6,SS 5,SS,Zach Neto,LAA,SS,31347,86.097,26.734,75.204,26.847,0.322,,,155.402,,,13.69,30.2,-16.51,-54.7,SB Specialist,13.69,8.439429460723344,True,1.8167903088094004,1.9312701098279184,1.4893312530364646,2.182313660586917,0.43122088024157323,,,,,
86,5,38,SP 5,SP,Matthew Boyd,CHC,SP,15440,74.208,20.835,,,,22.647,0.0,144.298,3.89,1.194,10.94,0.0,13.67,1367.0,QS+W Specialist,13.67,7.472890624231405,False,,,,,,2.5183803262346256,-0.6211034172977374,1.9750448636671547,1.101714984379188,1.9942221425140525
87,5,8,RP 4,RP,Griffin Jax,TBR,RP,20253,23.422,6.062,,,,3.503,29.305,79.577,3.097,1.077,10.8,0.0,13.5,1350.0,SV+HLD Specialist,13.5,7.5204736771920535,False,,,,,,-0.29207646669433274,3.6435841206490394,0.5458086496857597,1.824737741956469,1.7569110933408063
88,5,39,SP 5,SP,Tanner Bibee,CLE,SP,30134,83.766,23.733,,,,22.868,0.0,163.593,3.985,1.217,15.36,1.0,12.37,1237.0,QS+W Specialist,13.37,7.411253373524042,False,,,,,,2.5507795956957984,-0.6211034172977374,2.4011390305839373,0.7556363823673325,1.6651287006206328
89,5,6,1B 4,1B,Matt Olson,ATL,1B,14344,86.917,29.395,92.605,0.996,0.341,,,159.523,,,13.35,28.67,-15.32,-53.4,HR Specialist,13.35,8.091818818715423,False,1.846504107147829,2.22777675944489,2.127116742792423,-0.4877791389186008,1.9029131630037555,,,,,
