Name
Emmanuel Clase
Josh Hader
Ryan Helsley
Andres Munoz
Edwin Diaz
Devin Williams
Jhoan Duran
Colton Cowser
Lane Thomas
Josh Lowe
Nick Lodolo
Sonny Gray
Robbie Ray
Luis Gil
Will Smith
Steven Kwan
Ian Happ
Alec Bohm
Bo Bichette
Bryson Stott
Ha-Seong Kim
Zack Gelof
Colt Keith
Marcelo Mayer
Colt Emerson
Chase Burns
Xander Bogaerts
Christian Yelich
Christian Walker
Byron Buxton
Carlos Rodon
Yusei Kikuchi
Joe Musgrove
Reese Olson
Clarke Schmidt
Nick Pivetta
Zach Eflin
Nico Hoerner
Kerry Carpenter
Tyler Fitzgerald
Brandon Pfaadt
Zebby Matthews
Gavin Williams
Reynaldo Lopez
Josh Jung
Noelvi Marte
Jesus Luzardo
Ben Brown
Tink Hence
Thomas White
Dalton Rushing
Chase DeLauter
Christian Moore
Justin Crawford
Jaison Chourio
Jake Burger
Sandy Alcantara
Gavin Stone
Quinn Matthews
Hagen Smith
Travis Sykora
Cal Raleigh
Dansby Swanson
Ronel Blanco
Brandon Nimmo
Alex Bregman
Max Muncy
Marcus Semien
Cristopher Sanchez
Maikel Garcia
Brice Turang
Gleyber Torres
Garrett Mitchell
Willson Contreras
Tommy Edman
Michael Busch
Kevin Alcantara
Kyle Manzardo
Heston Kjerstad
Nick Kurtz
Cam Smith
Jordan Walker
Lazaro Montes
Konnor Griffin
Braden Montgomery
Owen Caissie
Ezequiel Tovar
Jac Caglionone
Charlie Condon
Raisel Iglesias
Felix Bautista
Ryan Walker
Matt Chapman
Trevor Story
Ranger Suarez
Jonathan India
Jeremy Pena
Masyn Winn
Spencer Arrighetti
DJ Herz
Bobby Miller
David Festa
Nestor Cortes
Michael Toglia
Brandon Marsh
Wilyer Abreu
Heliot Ramos
Isaac Paredes
Cade Horton
Moises Ballesteros
Aidan Miller
Parker Meadows
Spencer Jones
Xavier Isaac
Kevin McGonigle
Brice Matthews
Jett Williams
Termarr Johnson
Zyhir Hope
Emil Morales
Jesus Made
Taylor Ward
Brandon Woodruff
Brandon Sproat
Chase Dollander
Alejandro Rosario
Jacob Misiorowski
Kevin Gausman
Andres Gimenez
Luis Garcia
Ceddanne Rafaela
Kutter Crawford
Tanner Houck
Sean Manaea
Walker Buehler
Jeffrey Springs
Cody Bradford
Bowden Francis
Jose Soriano
Jarlin Susana
Lucas Erceg
Logan O’Hoppe
Ryan Jeffers
Shea Langeliers
J.T. Realmuto
Salvador Perez
Jorge Soler
Rhys Hoskins
Brandon Lowe
Carlos Correa
Spencer Torkelson
Christian Encarnacion-Strand
Robert Calaz
Jonny Farmelo
Tobias Myers
Mitch Keller
Nathan Eovaldi
Yu Darvish
Eugenio Suarez
Jurickson Profar
Michael Conforto
Nick Castellanos
Jose Berrios
MacKenzie Gore
Edward Cabrera
Brayan Bello
Xavier Edwards
Luis Arraez
Lars Nootbaar
Joey Ortiz
Cedric Mullins
Erick Fedde
Andy Pages
Ronny Mauricio
Jo Adell
Connor Norby
Alec Burleson
Nolan Jones
Orelvis Martinez
Joendry Vargas
Felnin Celesten
Giancarlo Stanton
George Springer
Paul Goldschmidt
Tyler Stephenson
Seth Lugo
Christopher Morel
Jacob Melton
Luisangel Acuna
Porter Hodge
Jake McCarthy
Tyler Soderstrom
Ryan Mountcastle
Jhonkensy Noel
Ryne Nelson
Brady Singer
Andrew Abbott
Rhett Lowder
Sean Murphy
Joc Pederson
Jordan Montgomery
Kyle Bradish
Ryan Weathers
Luis Rengifo
Jung Hoo Lee
Zac Veen
Brock Wilken
Cam Collier
Ralphy Velazquez
Nolan Arenado
Jeff Hoffman
Tyler Locklear
Colson Montgomery
Ryan Clifford
Cole Young
Adael Amador
Brayden Taylor
Luke Keaschall
Tommy Troy
Jackson Ferris
Austin Wells
Kyle Teel
Colby Thomas
Michael Arroyo
Victor Robles
Sal Frelick
Edgar Quero
Bo Naylor
Brady House
Deyvison De Los Santos
Luke Weaver
Lourdes Gurriel Jr.
Nathaniel Lowe
Brendan Donovan
Willi Castro
TJ Friedl
Ryan McMahon
Kirby Yates
Kenley Jansen
Braxton Garrett
Kyle Harrison
Gabriel Moreno
Agustin Ramirez
Ethan Salas
Arjun Nimmala
Brandon Winokur
Eric Bitonti
Druw Jones
David Hamilton
Drake Baldwin
CJ Kayfus
Aidan Smith
Bryce Rainer
Caden Dana
Ryan Bliss
AJ Puk
Andrew Heaney
Luis Severino
Masataka Yoshida
Yandy Diaz
Chris Bassitt
Merrill Kelly
Andrew Vaughn
Bryan De La Cruz
Spencer Horwitz
Kyle Finnegan
Jason Foley
Carlos Estevez
Aaron Civale
Zack Littell
Landon Knack
Trey Sweeney
Nick Yorke
Sean Burke
Tylor Megill
Braxton Ashcraft
Emmet Sheehan
Ricky Tiedemann
Christian Scott
Hayden Birdsong
Jameson Taillon
Michael Wacha
Nick Martinez
Josh Bell
Jesus Sanchez
Matt Wallner
Starling Marte
Michael Kopech
Robert Suarez
Tanner Scott
Justin Martinez
J.D. Martinez
Max Scherzer
Clayton Kershaw
Joey Bart
Otto Lopez
Adrian Del Castillo
Ben Rice















































































































































































































































































































































































































































































































































































"
"
