Name,auction_value,Position
Gavin Dugas,-inf,Hitter
Caden Rose,-inf,Hitter
Kehden Hettiger,-inf,Hitter
Ty Hanchey,-inf,Hitter
Joe Olsavsky,-inf,Hitter
Yiddi Cappe,-inf,Hitter
Angel Tejada,-inf,Hitter
Marvin Alcantara,-inf,Hitter
Jose De Jesus,-inf,Hitter
Antonis Macias,-inf,Hitter
Jordan Viars,-inf,Hitter
Logan Tanner,-inf,Hitter
Juan Flores,-inf,Hitter
Kevin Sim,-inf,Hitter
Jake DeLeo,-inf,Hitter
Adriander Mejía,-inf,Hitter
Maxwell Romero Jr.,-inf,Hitter
Edgar Alvarez,-inf,Hitter
Jefrey De Los Santos,-inf,Hitter
Capri Ortiz,-inf,Hitter
Luis Suisbel,-inf,Hitter
Jeremy Ciriaco,-inf,Hitter
Will Verdung,-inf,Hitter
Randy De Jesus,-inf,Hitter
Jancel Villarroel,-inf,Hitter
Jake Cunningham,-inf,Hitter
Izaac Pacheco,-inf,Hitter
Nolan McLean,-inf,Hitter
Luis Durango,-inf,Hitter
Luis Chevalier,-inf,Hitter
Jose Ramos,-inf,Hitter
Leonel Espinoza,-inf,Hitter
Calvin Harris,-inf,Hitter
Modeifi Marte,-inf,Hitter
Leo Balcazar,-inf,Hitter
Brock Vradenburg,-inf,Hitter
Coby Morales,-inf,Hitter
Albertson Asigen,-inf,Hitter
Cole Turney,-inf,Hitter
Jay Harry,-inf,Hitter
Edward Duran,-inf,Hitter
Jack Costello,-inf,Hitter
Bill Knight,-inf,Hitter
T.J. Schofield-Sam,-inf,Hitter
Felix Tena,-inf,Hitter
Jorge Ruiz,-inf,Hitter
Jackson Hornung,-inf,Hitter
C.J. Stubbs,-inf,Hitter
Werner Blakely,-inf,Hitter
Sammy Stafura,-inf,Hitter
Ben Ramirez,-inf,Hitter
Harrison Spohn,-inf,Hitter
Troy Schreffler,-inf,Hitter
Darlin Moquete,-inf,Hitter
Juan Benjamin,-inf,Hitter
Jean Carlos Sio,-inf,Hitter
Ed Howard,-inf,Hitter
Daniel Guilarte,-inf,Hitter
Trevor Werner,-inf,Hitter
Yeremi Cabrera,-inf,Hitter
Andruw Musett,-inf,Hitter
Anthony Servideo,-inf,Hitter
Tre Richardson,-inf,Hitter
Ricardo Cabrera,-inf,Hitter
Rafael Morel,-inf,Hitter
Kenni Gomez,-inf,Hitter
Luis Mendez,-inf,Hitter
Kiko Romero,-inf,Hitter
Zyhir Hope,-inf,Hitter
Tyler Robertson,-inf,Hitter
Junior Tilien,-inf,Hitter
Elis Cuevas,-inf,Hitter
Ryan Higgins,-inf,Hitter
Carson Roccaforte,-inf,Hitter
Luke Gold,-inf,Hitter
Cutter Coffey,-inf,Hitter
Patrick Lee,-inf,Hitter
Michael Curialle,-inf,Hitter
Jose Fernandez,-inf,Hitter
Joshua Mears,-inf,Hitter
Miguel Bleis,-inf,Hitter
Lizandro Rodriguez,-inf,Hitter
Dylan Shockley,-inf,Hitter
Victor Acosta,-inf,Hitter
Rayne Doncon,-inf,Hitter
Won-Bin Cho,-inf,Hitter
Jose Escobar,-inf,Hitter
Stephen Paolini,-inf,Hitter
Daniel Vazquez,-inf,Hitter
Colby Shade,-inf,Hitter
Ronald Hernandez,-inf,Hitter
CJ Rodriguez,-inf,Hitter
E.J. Exposito,-inf,Hitter
Nate Baez,-inf,Hitter
Jason Matthews,-inf,Hitter
Kaelen Culpepper,-inf,Hitter
Tyler Hardman,-inf,Hitter
Keiner Delgado,-inf,Hitter
Aeverson Arteaga,-inf,Hitter
Chase Adkison,-inf,Hitter
Colton Ledbetter,-inf,Hitter
Dylan Jasso,-inf,Hitter
Cade Hunter,-inf,Hitter
Gage Miller,-inf,Hitter
Luis Escudero,-inf,Hitter
Dario Laverde,-inf,Hitter
Alejandro Nunez,-inf,Hitter
Anyelo Encarnacion,-inf,Hitter
JJ Wetherholt,-inf,Hitter
Jose Devers,-inf,Hitter
Nerwilian Cedeño,-inf,Hitter
Jean Perez,-inf,Hitter
Jason Hinchman,-inf,Hitter
Echedry Vargas,-inf,Hitter
Oswaldo Linares,-inf,Hitter
Wilder Dalis,-inf,Hitter
Jared McKenzie,-inf,Hitter
Daniel Flames,-inf,Hitter
Kevin Bruggeman,-inf,Hitter
Sam Mongelli,-inf,Hitter
Filippo Di Turi,-inf,Hitter
Sam Praytor,-inf,Hitter
Austin Charles,-inf,Hitter
Omar Hernandez,-inf,Hitter
Austin Hendrick,-inf,Hitter
Jackson Feltner,-inf,Hitter
Hunter Fitz-Gerald,-inf,Hitter
Luis Valdez,-inf,Hitter
Leodalis De Vries,-inf,Hitter
Adrian De Leon,-inf,Hitter
Rosman Verdugo,-inf,Hitter
Jose Meza,-inf,Hitter
Dionmy Salon,-inf,Hitter
Cameron Cauley,-inf,Hitter
Manuel Palencia,-inf,Hitter
Brenny Escanio,-inf,Hitter
Edwin Amparo,-inf,Hitter
Blake Mitchell,-inf,Hitter
Miguel Briceno,-inf,Hitter
Anthony Hall,-inf,Hitter
John Peck,-inf,Hitter
Isaac De León,-inf,Hitter
Brett Callahan,-inf,Hitter
Trey Paige,-inf,Hitter
Lisbel Diaz,-inf,Hitter
Ruben Santana,-inf,Hitter
Shawn Ross,-inf,Hitter
Thomas Gavello,-inf,Hitter
Bryce Arnold,-inf,Hitter
Rodolfo Nolasco,-inf,Hitter
Yophery Rodriguez,-inf,Hitter
Kyle Nevin,-inf,Hitter
Anderdson Rojas,-inf,Hitter
Noelberth Romero,-inf,Hitter
Jack Moss,-inf,Hitter
Alexander Suarez,-inf,Hitter
Aldalay Kolokie,-inf,Hitter
Luke Brown,-inf,Hitter
Yhoswar Garcia,-inf,Hitter
Roque Salinas,-inf,Hitter
Murphy Stehly,-inf,Hitter
Bennett Lee,-inf,Hitter
Joshua Baez,-inf,Hitter
Gavin Logan,-inf,Hitter
Sammy Hernandez,-inf,Hitter
Caleb Ketchup,-inf,Hitter
Tatem Levins,-inf,Hitter
Ethan Salas,-inf,Hitter
Manuel Beltre,-inf,Hitter
Roc Riggio,-inf,Hitter
Onil Perez,-inf,Hitter
Chance Sisco,-inf,Hitter
Jesús Bastidas,-inf,Hitter
Blaine Crim,-inf,Hitter
Nathan Hickey,-inf,Hitter
Justin Wishkoski,-inf,Hitter
BJ Murray Jr.,-inf,Hitter
Brennen Davis,-inf,Hitter
Brewer Hicklen,-inf,Hitter
Jeferson Morales,-inf,Hitter
Andrew Pintar,-inf,Hitter
Andy Weber,-inf,Hitter
Ryan Kreidler,-inf,Hitter
Braden Shewmake,-inf,Hitter
Douglas Hodo III,-inf,Hitter
Shayne Fontana,-inf,Hitter
Caleb Roberts,-inf,Hitter
Matt Lloyd,-inf,Hitter
Kevin McGonigle,-inf,Hitter
Charles McAdoo,-inf,Hitter
Matt Kroon,-inf,Hitter
Jordan Diaz,-inf,Hitter
Walker Jenkins,-inf,Hitter
Jhostynxon Garcia,-inf,Hitter
Yunior Severino,-inf,Hitter
Otto Kemp,-inf,Hitter
Jack Blomgren,-inf,Hitter
Imanol Vargas,-inf,Hitter
Aaron Zavala,-inf,Hitter
R.J. Yeager,-inf,Hitter
Stephen Scott,-inf,Hitter
Roman Quinn,-inf,Hitter
Terrell Tatum,-inf,Hitter
Tsung-Che Cheng,-inf,Hitter
Myles Straw,-inf,Hitter
Nick Podkul,-inf,Hitter
Kyler Fedko,-inf,Hitter
Yohandy Morales,-inf,Hitter
Braxton Fulford,-inf,Hitter
Darick Hall,-inf,Hitter
TJ Hopkins,-inf,Hitter
Yeiner Fernandez,-inf,Hitter
Ronaiker Palma,-inf,Hitter
Nelson Rada,-inf,Hitter
Yanquiel Fernandez,-inf,Hitter
Samad Taylor,-inf,Hitter
Tyler Dearden,-inf,Hitter
David Villar,-inf,Hitter
Owen Miller,-inf,Hitter
Luke Adams,-inf,Hitter
Kyle Karros,-inf,Hitter
Jason Krizan,-inf,Hitter
Dru Baker,-inf,Hitter
Travis Swaggerty,-inf,Hitter
Tucker Flint,-inf,Hitter
Josue De Paula,-inf,Hitter
Ernesto Martinez Jr.,-inf,Hitter
Carter Howell,-inf,Hitter
Jonathan Ornelas,-inf,Hitter
Will Simpson,-inf,Hitter
Noah Cardenas,-inf,Hitter
Yonny Hernández,-inf,Hitter
John Rave,-inf,Hitter
Rafael Flores,-inf,Hitter
Ramón Rodríguez,-inf,Hitter
Daylen Lile,-inf,Hitter
Allan Castro,-inf,Hitter
David McCabe,-inf,Hitter
Gavin Cross,-inf,Hitter
Gabriel Rincones Jr.,-inf,Hitter
Malcom Nuñez,-inf,Hitter
Maverick Handley,-inf,Hitter
Daniel Cabrera,-inf,Hitter
Warming Bernabel,-inf,Hitter
Jaison Chourio,-inf,Hitter
Yamal Encarnacion,-inf,Hitter
Frederick Bencosme,-inf,Hitter
Cam Devanney,-inf,Hitter
Jac Caglianone,-inf,Hitter
Nic Kent,-inf,Hitter
Tyler Callihan,-inf,Hitter
Tommy Sacco Jr.,-inf,Hitter
A.J. Vukovich,-inf,Hitter
Colin Moran,-inf,Hitter
Brian O'Keefe,-inf,Hitter
Gavin Collins,-inf,Hitter
Michael Turconi,-inf,Hitter
Jack Pineda,-inf,Hitter
Carlos Cortes,-inf,Hitter
Tanner Murray,-inf,Hitter
Ramon Mendoza,-inf,Hitter
Eddys Leonard,-inf,Hitter
Alex Isola,-inf,Hitter
Eliezer Alfonzo,-inf,Hitter
Chase Strumpf,-inf,Hitter
Wes Clarke,-inf,Hitter
Quincy McAfee,-inf,Hitter
Kody Huff,-inf,Hitter
Tristin English,-inf,Hitter
Kristian Robinson,-inf,Hitter
Austin Nola,-inf,Hitter
Joe Lampe,-inf,Hitter
Payton Henry,-inf,Hitter
Austin Murr,-inf,Hitter
Jax Biggers,-inf,Hitter
Cody Milligan,-inf,Hitter
David Fletcher,-inf,Hitter
Ronny Simon,-inf,Hitter
Ben Williamson,-inf,Hitter
Zach Zubia,-inf,Hitter
Luca Tresh,-inf,Hitter
César Prieto,-inf,Hitter
Nathan Martorella,-inf,Hitter
Drew Avans,-inf,Hitter
Corey Rosier,-inf,Hitter
Matthew Etzel,-inf,Hitter
Andrew Kachel,-inf,Hitter
Sam Huff,-inf,Hitter
Paul McIntosh,-inf,Hitter
Abimelec Ortiz,-inf,Hitter
Geraldo Quintero,-inf,Hitter
Zach Kokoska,-inf,Hitter
Hudson Haskin,-inf,Hitter
Hendry Mendez,-inf,Hitter
Raynel Delgado,-inf,Hitter
Andrick Nava,-inf,Hitter
Rainer Nunez,-inf,Hitter
Diego Velasquez,-inf,Hitter
Armando Alvarez,-inf,Hitter
Cole Carrigg,-inf,Hitter
Drew Ehrhard,-inf,Hitter
Riley Unroe,-inf,Hitter
Jacob Amaya,-inf,Hitter
Nick Dini,-inf,Hitter
Matt Higgins,-inf,Hitter
Riley Tirotta,-inf,Hitter
AJ Lewis,-inf,Hitter
T.J. Rumfield,-inf,Hitter
Conner Capel,-inf,Hitter
Jacob Robson,-inf,Hitter
Drew Gilbert,-inf,Hitter
Jake Holton,-inf,Hitter
Jesus Rodriguez,-inf,Hitter
Francisco Urbaez,-inf,Hitter
Nick Martini,-inf,Hitter
Blake Dunn,-inf,Hitter
Turner Hill,-inf,Hitter
Ismael Munguia,-inf,Hitter
Enrique Bradfield Jr.,-inf,Hitter
Pablo Reyes,-inf,Hitter
Matt Beaty,-inf,Hitter
Jack Dunn,-inf,Hitter
Braiden Ward,-inf,Hitter
Ryan Ritter,-inf,Hitter
César Salazar,-inf,Hitter
Kenedy Corona,-inf,Hitter
Sergio Alcántara,-inf,Hitter
Harry Ford,-inf,Hitter
Logan Driscoll,-inf,Hitter
Grae Kessinger,-inf,Hitter
Hoy Park,-inf,Hitter
Blake Sabol,-inf,Hitter
C.J. Kayfus,-inf,Hitter
Juan Guerrero,-inf,Hitter
Matthew Lugo,-inf,Hitter
Osleivis Basabe,-inf,Hitter
Jett Williams,-inf,Hitter
Hao-Yu  Lee,-inf,Hitter
Victor Mesa Jr.,-inf,Hitter
Steward Berroa,-inf,Hitter
Guy Lipscomb,-inf,Hitter
Livan Soto,-inf,Hitter
Seby Zavala,-inf,Hitter
Alika Williams,-inf,Hitter
Mario Camilletti,-inf,Hitter
Mike Boeve,-inf,Hitter
Brett Bateman,-inf,Hitter
Casey Schmitt,-inf,Hitter
Dalton Rushing,-inf,Hitter
Jeferson Quero,-inf,Hitter
Everson Pereira,-inf,Hitter
Hunter Feduccia,-inf,Hitter
Nick Solak,-inf,Hitter
Anthony Prato,-inf,Hitter
Benjamin Cowles,-inf,Hitter
Nate Furman,-inf,Hitter
Miles Mastrobuoni,-inf,Hitter
Johnathan Rodriguez,-inf,Hitter
Gino Groover,-inf,Hitter
Christian Franklin,-inf,Hitter
Jahmai Jones,-inf,Hitter
Jordan Groshans,-inf,Hitter
Yonathan Perlaza,-inf,Hitter
Vimael Machín,-inf,Hitter
Robert Hassell III,-inf,Hitter
Phillip Glasser,-inf,Hitter
George Valera,-inf,Hitter
Termarr Johnson,-inf,Hitter
Spencer Packard,-inf,Hitter
Christian Cerda,-inf,Hitter
Vinny Capra,-inf,Hitter
Edward Olivares,-inf,Hitter
Justin Foscue,-inf,Hitter
Petey Halpin,-inf,Hitter
Charles Leblanc,-inf,Hitter
Xavier Isaac,-inf,Hitter
Alex Freeland,-inf,Hitter
Sammy Siani,-inf,Hitter
Blake Rambusch,-inf,Hitter
Christian Cairo,-inf,Hitter
Jake Thompson,-inf,Hitter
Sterlin Thompson,-inf,Hitter
Carson Taylor,-inf,Hitter
Nathan Church,-inf,Hitter
Ryan Clifford,-inf,Hitter
Luke Waddell,-inf,Hitter
Trevor Hauver,-inf,Hitter
Nick Cimillo,-inf,Hitter
Kobe Kato,-inf,Hitter
Justice Bigbie,-inf,Hitter
Joey Meneses,-inf,Hitter
Michael Turner,-inf,Hitter
Sal Stewart,-inf,Hitter
Shane Sasaki,-inf,Hitter
Jake Alu,-inf,Hitter
Tristan Peters,-inf,Hitter
Carter Kieboom,-inf,Hitter
Darius Hill,-inf,Hitter
Jeisson Rosario,-inf,Hitter
Hayden Cantrelle,-inf,Hitter
Blaze Jordan,-inf,Hitter
Wyatt Young,-inf,Hitter
Donovan Walton,-inf,Hitter
Ryan Vilade,-inf,Hitter
Anthony Seigler,-inf,Hitter
Dylan O'Rae,-inf,Hitter
Carter Jensen,-inf,Hitter
